"No.","Time","Source","Destination","Protocol","Length","Info"
"5839","50.304106","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2082310 Ack=2091368 Win=65536 Len=1460"
"5840","50.304106","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2083770 Ack=2091368 Win=65536 Len=1460"
"5841","50.304106","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=2085230 Ack=2091368 Win=65536 Len=162"
"5842","50.304217","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2091368 Ack=2085392 Win=131328 Len=0"
"5843","50.306847","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2091368 Ack=2085392 Win=131328 Len=1460"
"5844","50.306847","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2092828 Ack=2085392 Win=131328 Len=1460"
"5845","50.306847","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2094288 Ack=2085392 Win=131328 Len=176"
"5846","50.310042","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=2085392 Ack=2094464 Win=65536 Len=0"
"5847","50.335481","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2085392 Ack=2094464 Win=65536 Len=1460"
"5848","50.335481","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2086852 Ack=2094464 Win=65536 Len=1460"
"5849","50.335481","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=2088312 Ack=2094464 Win=65536 Len=162"
"5850","50.335576","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2094464 Ack=2088474 Win=131328 Len=0"
"5851","50.338216","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2094464 Ack=2088474 Win=131328 Len=1460"
"5852","50.338216","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2095924 Ack=2088474 Win=131328 Len=1460"
"5853","50.338216","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2097384 Ack=2088474 Win=131328 Len=176"
"5854","50.342676","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=2088474 Ack=2097560 Win=65536 Len=0"
"5855","50.533083","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2088474 Ack=2097560 Win=65536 Len=1460"
"5856","50.533610","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2089934 Ack=2097560 Win=65536 Len=1460"
"5857","50.533610","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=2091394 Ack=2097560 Win=65536 Len=162"
"5858","50.533714","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2097560 Ack=2091556 Win=131328 Len=0"
"5861","50.536050","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2097560 Ack=2091556 Win=131328 Len=1460"
"5862","50.536050","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2099020 Ack=2091556 Win=131328 Len=1460"
